,C,kernel,precision,recall,ROC,f1,acc
0,0.1,linear,0.6090225563909775,0.574468085106383,0.6028368794326241,0.5912408759124088,0.6028368794326241
1,0.1,poly_2,0.6222222222222222,0.19858156028368795,0.5390070921985816,0.3010752688172043,0.5390070921985816
2,0.1,poly_3,0.6388888888888888,0.16312056737588654,0.5354609929078014,0.2598870056497175,0.5354609929078015
3,0.1,poly_4,0.6923076923076923,0.1276595744680851,0.5354609929078014,0.21556886227544908,0.5354609929078015
4,0.1,poly_5,0.6923076923076923,0.1276595744680851,0.5354609929078014,0.21556886227544908,0.5354609929078015
5,0.1,rbf,0.5875,0.6666666666666666,0.5992907801418439,0.6245847176079734,0.599290780141844
6,0.1,sigmoid,0.6090225563909775,0.574468085106383,0.6028368794326241,0.5912408759124088,0.6028368794326241
7,0.5,linear,0.5895522388059702,0.5602836879432624,0.5851063829787234,0.5745454545454546,0.5851063829787234
8,0.5,poly_2,0.61,0.4326241134751773,0.5780141843971631,0.5062240663900415,0.5780141843971631
9,0.5,poly_3,0.6461538461538462,0.2978723404255319,0.5673758865248227,0.4077669902912622,0.5673758865248227
10,0.5,poly_4,0.5862068965517241,0.24113475177304963,0.5354609929078014,0.3417085427135678,0.5354609929078015
11,0.5,poly_5,0.6037735849056604,0.22695035460992907,0.5390070921985815,0.32989690721649484,0.5390070921985816
12,0.5,rbf,0.6099290780141844,0.6099290780141844,0.6099290780141844,0.6099290780141844,0.6099290780141844
13,0.5,sigmoid,0.5573770491803278,0.48226950354609927,0.549645390070922,0.5171102661596958,0.549645390070922
14,1.0,linear,0.5882352941176471,0.5673758865248227,0.5851063829787234,0.5776173285198556,0.5851063829787234
15,1.0,poly_2,0.5737704918032787,0.49645390070921985,0.5638297872340425,0.532319391634981,0.5638297872340425
16,1.0,poly_3,0.6320754716981132,0.475177304964539,0.5992907801418439,0.5425101214574899,0.599290780141844
17,1.0,poly_4,0.6031746031746031,0.2695035460992908,0.5460992907801419,0.3725490196078431,0.5460992907801419
18,1.0,poly_5,0.6037735849056604,0.22695035460992907,0.5390070921985815,0.32989690721649484,0.5390070921985816
19,1.0,rbf,0.5970149253731343,0.5673758865248227,0.5921985815602837,0.5818181818181819,0.5921985815602837
20,1.0,sigmoid,0.546875,0.49645390070921985,0.5425531914893618,0.520446096654275,0.5425531914893617
21,5.0,linear,0.582089552238806,0.5531914893617021,0.5780141843971631,0.5672727272727273,0.5780141843971631
22,5.0,poly_2,0.5669291338582677,0.5106382978723404,0.5602836879432623,0.5373134328358209,0.5602836879432624
23,5.0,poly_3,0.592,0.524822695035461,0.5815602836879433,0.556390977443609,0.5815602836879432
24,5.0,poly_4,0.5691056910569106,0.49645390070921985,0.5602836879432624,0.5303030303030303,0.5602836879432624
25,5.0,poly_5,0.5913978494623656,0.3900709219858156,0.5602836879432624,0.4700854700854701,0.5602836879432624
26,5.0,rbf,0.5873015873015873,0.524822695035461,0.5780141843971631,0.5543071161048688,0.5780141843971631
27,5.0,sigmoid,0.5694444444444444,0.5815602836879432,0.5709219858156028,0.575438596491228,0.5709219858156028
28,10.0,linear,0.582089552238806,0.5531914893617021,0.5780141843971631,0.5672727272727273,0.5780141843971631
29,10.0,poly_2,0.5692307692307692,0.524822695035461,0.5638297872340425,0.5461254612546126,0.5638297872340425
30,10.0,poly_3,0.578125,0.524822695035461,0.5709219858156029,0.5501858736059478,0.5709219858156028
31,10.0,poly_4,0.5846153846153846,0.5390070921985816,0.5780141843971631,0.5608856088560886,0.5780141843971631
32,10.0,poly_5,0.584070796460177,0.46808510638297873,0.5673758865248227,0.5196850393700788,0.5673758865248227
33,10.0,rbf,0.5777777777777777,0.5531914893617021,0.574468085106383,0.5652173913043478,0.574468085106383
34,10.0,sigmoid,0.5205479452054794,0.5390070921985816,0.5212765957446808,0.5296167247386759,0.5212765957446809
35,15.0,linear,0.5851851851851851,0.5602836879432624,0.5815602836879432,0.5724637681159421,0.5815602836879432
36,15.0,poly_2,0.546875,0.49645390070921985,0.5425531914893618,0.520446096654275,0.5425531914893617
37,15.0,poly_3,0.5859375,0.5319148936170213,0.5780141843971631,0.5576208178438662,0.5780141843971631
38,15.0,poly_4,0.5905511811023622,0.5319148936170213,0.5815602836879432,0.5597014925373135,0.5815602836879432
39,15.0,poly_5,0.5811965811965812,0.48226950354609927,0.5673758865248227,0.5271317829457364,0.5673758865248227
40,15.0,rbf,0.5693430656934306,0.5531914893617021,0.5673758865248226,0.5611510791366906,0.5673758865248227
41,15.0,sigmoid,0.5266666666666666,0.5602836879432624,0.5283687943262412,0.5429553264604812,0.5283687943262412
42,20.0,linear,0.5895522388059702,0.5602836879432624,0.5851063829787234,0.5745454545454546,0.5851063829787234
43,20.0,poly_2,0.5419847328244275,0.5035460992907801,0.5390070921985816,0.5220588235294117,0.5390070921985816
44,20.0,poly_3,0.5793650793650794,0.5177304964539007,0.5709219858156028,0.5468164794007492,0.5709219858156028
45,20.0,poly_4,0.5873015873015873,0.524822695035461,0.5780141843971631,0.5543071161048688,0.5780141843971631
46,20.0,poly_5,0.5847457627118644,0.48936170212765956,0.5709219858156028,0.5328185328185329,0.5709219858156028
47,20.0,rbf,0.562962962962963,0.5390070921985816,0.5602836879432623,0.5507246376811594,0.5602836879432624
48,20.0,sigmoid,0.5202702702702703,0.5460992907801419,0.5212765957446809,0.532871972318339,0.5212765957446809
